Name,TypeofKiller,Sex,Race,WhiteMale,WhiteMale20s,NumVics,country,state,County,City,US,birthyear,BirthDate,BirthPlace,Age1stKill,AgeLastKill,AgeGroup,MidtoLate20s,DateFirst,DateFinal,VictimCode,Code,Type,Height,Raised,FamEvent,AgeEvent,Rasied2,BirthRank,BirthCat,NumSibs,SchoolProb,Teased,Educ,Degree,IQ1,IQ2,VerbalIQ,PerfIQ,Military,Branch,Combat,Killed,AppliedCop,WorkedCop,Fired,Attrac,PhyDef,SpchDef,XYY,BrainAb,Chem,HeadInj,PoliceGroupie,BedWet,Animal,Fire,PsychAbuse,PhysAbuse,SexAbuse,ParMarSta,DadStable,MomStable,DadSA,MomSA,Killerabusealcohol,Killerabusedrugs,Married?,MaritalStatus,NumberofChildren,LivChild,LiveWith,SexualOrientation,Occupation,PreviousArrests,Previousjailorprisontime,AgeKill,AgeSeries,KilledPriortoSeries,KillMethod,KillwithHands,Weapon,Gun,Partner,MethodDescription,PartName,PartnerRelation,PartSex,VicSex,#Male,#Female,RaceofVictim,#White,#Black,#Hisp,#Asian,NatAm,VicAge,VicAgeAdult,ChildVictim,ActualAges,GetToCrime,LocAbduct,LocKilling,Rape,Torture,Soughtvictimtokill,Overkill,Quick,Blindfold,Bound,Mutilate,Totem,SexDeath,AteBody,DrankBlood,Posed,BodyTotem,ItemTotem,News,BodyLeft,LeftHidden,LeftBuried,Moved,MovedHide,MovedBuried,CutUp,TakenHome,DisorPoints,OrgDis,Mental,MentalFac,PsychologicalDiagnosis,DateArrested,KilledinmateorguardinPrison,WantAds,Confessed,NGRI,Sentence,Exec,DateDeath,Suicide,DeathMeth,SuspectedDeaths,ConfessedDeaths,ConvictedDeaths,YearsBetweenFirstandLast,YearFirst,YearFinal,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,Century,DecadeStarted,Otherinformation,Nickname,Organizational,FrequencyCategory
"Acker,William",Serial-Team-Twomurders,1,1,1,1,2,US,"HI,CA",Honolulu,Honolulu,1,1950,,US-IL,28,28,20,1,6/19/1978,6/26/1978,11,1.1,FinancialGain-Robbery,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,0,,1,1,Unemployed,1,1,28,28,0,2,0,3,1,1,Shoot,"Acker,William;Acker,Maryann",Family-Spouse,2,1,2,0,,,,1,0,,,1,0,"20,20",,,,0,0,1,0,1,0,1,0,,0,0,0,0,0,,,0,0,0,0,1,0,0,0,,,,,,7/1/1978,0,0,1,0,20yrs,0,,,,2,2,2,0,1978,1978,0,0,0,0,1,0,0,0,0,0,0,0,1900,1970,,,0,2
"Acremant,RobertJames",Serial-Twoevents,1,1,1,1,3,US,"OR,CA","Jackson,SanJoaquin","Medford,Visalia",1,1968,5/9/1968,,27,27,20,1,10/3/1995,12/4/1995,8.3,1,FinancialGain,,,,,,,,,,,18,Master's,,,,,1,3,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Logistics,0,0,27,27,0,2,0,3,1,0,Shoot,,,,3,1,2,1,3,0,0,0,0,,1,0,"23,42,53",,,,0,0,0,0,1,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,1,,0,,12/13/1995,0,0,1,0,3,,,,,3,3,3,0,1995,1995,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,3
"Adam,ScottyRay",Serial-Twomurders,1,1,1,0,2,US,KS,Morris,CouncilGrove,1,1974,10/6/1974,,18,24,10,0,1/23/1993,10/21/1998,11,4,Anger,68,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,1,,,,18,18,0,"1,4",1,,0,0,"Bludgeon,Stab",,,,1,2,0,1,2,0,0,0,0,,1,1,"1,19",,,,0,0,0,0,1,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,2,,0,,10/26/1998,0,0,1,0,20yrs,0,,,,2,2,2,5,1993,1998,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,2
"Adams,EdwardJ.",Serial-Organizational-CriminalEnterprise,1,1,1,0,7,US,"MO,KS",Sedgwick,"KansasCity,Wichita,Haysville",1,1887,,US-KS-Hutchinson,33,34,30,0,9/5/1920,11/22/1921,6.1,1.12,FinancialGain-Robbery-Retail,,9,,,0,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,4,0,,,1,Criminal,1,1,33,33,0,"1,2",1,3,,1,"Bludgeon,Shoot",AdamsGang,Gang,1,1,7,0,1,7,0,0,0,0,,1,0,"30,82",,,,0,0,0,0,1,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,1,,0,,11/22/1921,0,0,0,0,5,0,11/22/1921,0,3,7,0,0,1,1920,1921,0,0,0,0,0,0,0,0,0,1,0,0,1900,1920,,,1,6+
"Adams,GaryStarr",Serial-Team-Twomurders,1,1,1,0,2,US,CO,"Jefferson,Denver","Trinidad,Denver",1,1943,12/2/1943,,39,44,30,0,7/23/1983,11/20/1988,8.5,1,FinancialGain,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,39,39,0,"1,2",1,3,1,1,"Bludgeon,Shoot","Adams,GaryStarr;Harrelson,SharonLynn",Girlfriend,2,1,2,0,1,2,0,0,0,0,6,1,0,"45,50",,,,0,0,1,0,1,,,0,,0,0,0,0,0,,,0,1,0,0,1,0,0,0,0,1,,,,,,0,,0,,,,,,2,,2,5,1983,1988,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,KilledthehusbandsofhisgirlfriendSharonNelson,,0,2
"Adams,Jeff",Serial,1,1,1,,3,US,CA,LosAngeles,SanGabriel,1,,,,,,,,1988,1988,7.2,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,1,,0,0,Bludgeon,,,,2,0,3,,,,,,,6,1,0,,,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,2,,,,,,,0,,,2,0,,,,3,,3,0,1988,1988,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,Incubus,0,3
"Adams,JohnBodkin",Serial,1,1,1,0,160,England,SouthEast,EastSussex,Eastbourne,0,1899,1/21/1899,NorthernIreland-CountyAntrim-Randalstown,47,57,40,0,12/24/1946,7/23/1956,4.2,1.4,FinancialGain-LethalCareTaker,,1,,,0,1,1,,,,21,MD,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Doctor,0,0,47,47,0,3,0,3,0,0,Poison,,,,3,,,1,,0,0,0,0,7,1,0,"71,72,75,76,81,85,86,87,88,89",,,6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,,0,,12/19/1956,0,0,0,0,4,0,7/4/1983,0,14,160,0,0,10,1946,1956,0,0,0,0,0,0,1,1,0,0,0,0,1900,1940,,,0,6+
"Adams,Keith#189260",Serial-Twoevents,1,1,0,0,3,US,FL,"PalmBeach,Miami-Miami-Dade",PalmBeachGardens,1,1971,5/13/1971,Jamaica,30,34,30,0,7/23/2001,8/14/2005,11,4,Anger,71,,,,,,,,,,,,58,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,30,30,0,"1,2",1,3,,0,"Bludgeon,Shoot",,,,1,3,0,,,,,,,,1,0,"29,33,59",,,,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,,,0,ParanoidPersonality,7/23/2001,1,0,1,1,2,0,,,,3,3,3,4,2001,2005,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,3
"Adams,MichaelElijah",Serial,1,1,1,0,3,US,"CA,TX,VA","Placer,ElPaso,Henrico","Roseville,ElPaso",1,1967,5/13/1967,,32,43,30,0,1/21/2000,3/15/2011,1.2,1.1,FinancialGain-Robbery,70,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Transient,1,1,32,32,0,1,1,,,0,Bludgeon,,,,3,2,1,,,,,,,,1,0,"46,46,51",,,,0,0,,,,,,0,,0,0,0,0,0,,,0,1,1,0,0,0,0,0,,,,,,5/17/2011,0,0,1,0,,,,,,3,2,1,11,2000,2011,1,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,3
"Adeyemo,Kazeem",Serial-Organizational-Gang,1,2,0,0,20,Nigeria,Oyo,,Ibadan,0,1963,,,42,43,40,0,2005,2006,8.3,8,GangActivity,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,42,0,,,,,1,,Gangmembers,Gang/CriminalEnterprise,,3,,,2,0,20,0,0,0,,1,,,,,,,,,,,,,,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,1,,,,4/9/2006,0,0,0,0,5,0,4/9/2006,0,3,20,0,0,1,2005,2006,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,1,6+
"Adorno,GeorgeC.",Serial-Twoevents,1,3,0,0,4,US,NY,NewYork,NewYork,1,1958,12/23/1958,,15,18,10,0,1974,2/23/1977,8.3,3.02,Enjoyment-Norape,,,,,0,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,1,,,,,,,,,,,0,1,0,,,,,,,15,15,0,2,0,3,,0,Shoot,,,,,1,,,,1,,,,,1,0,27,,,,0,0,,0,,,,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,,,,,1977,0,0,2,0,15yrstolife,0,,,,4,4,1,3,1974,1977,0,0,0,0,1,0,0,0,0,0,0,0,1900,1970,,,0,4
"Adzovic,Ruzdija",Awaitingconfirmation,1,1,1,,,Italy,Foggia,,Foggia,0,,,,,,,,1993,1996,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,3,1993,1996,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,
"Agee,Derrick#0001155773",Serial-Twomurders,1,2,0,0,2,US,GA,Fulton,Atlanta,1,1979,1/1/1979,,18,21,10,0,12/7/1997,7/15/2000,8.5,4,Anger,68,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,1,,,,18,18,0,2,0,3,,0,Shoot,,,,1,2,0,2,0,2,0,0,0,,1,0,"23,24",,,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,,,,,,7/15/2000,0,0,0,0,2,0,,,,2,0,2,3,1997,2000,0,1,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,2
"Agofsky,ShannonWayne",Serial-Twomurders,1,1,1,0,2,US,"TX,OK","Jefferson,Delaware","Beaumont,Grove",1,1971,3/11/1971,,18,29,10,0,10/6/1989,1/5/2001,11,11,Multiplemotives,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,1,,,,18,18,0,"1,10",1,,,0,"Bludgeon,Drown",,,,1,2,0,,1,,,,,,1,0,"37,51",,,,0,,,,,,1,0,,0,0,0,0,0,,,1,0,0,0,1,0,0,0,,,,,,,1,0,0,0,1,,,,,2,,2,12,1989,2001,0,1,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,2
"Aguilar,Tonatihu",Serial-Twoevents,1,3,1,0,3,US,AZ,Maricopa,Phoenix,1,1980,2/11/1980,,16,16,10,0,9/21/1996,10/15/1996,8.5,4,Anger,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,0,2,0,3,,0,Shoot,,,,3,2,1,,,,2,,,,1,0,"16,28,29",,,,0,0,0,0,1,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,,,0,,7/23/1997,0,0,,0,3,,,,,3,,3,0,1996,1996,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,3
"Aguilera,Jesus#82A6287",Serial,1,3,0,0,4,US,NY,Bronx,NYC-Bronx,1,1954,1/28/1954,Cuba,27,27,20,1,8/29/1981,11/24/1981,8.31,3.3,Enjoyment-Power,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,27,27,0,5,1,,0,0,Strangle,,,,3,1,3,3,0,0,4,0,0,,1,0,"20,24,30,35",,,,1,,,0,,0,0,0,,0,0,0,0,0,,,0,0,0,1,0,0,0,0,,,,,,2/16/1982,0,0,1,0,2,0,,,,4,2,3,0,1981,1981,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,4
"Ahmad,Auda",Serial,1,2,0,0,3,SaudiArabia,,,Yanbu,0,1965,,,42,44,40,0,9/20/2007,8/10/2009,6.11,3.01,Enjoyment-Rape,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,1,2,6,,,1,Fruitsalesperson,1,1,42,42,0,"1,5",1,,0,0,"Bludgeon,Strangle",,,,2,0,3,4,0,0,0,3,0,,1,0,,,,,1,0,1,,,,,0,,0,0,0,0,0,,,0,0,0,0,0,1,0,0,,,,,,9/1/2010,,0,1,,,,,,,3,3,,2,2007,2009,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,3
"Ahmet,Noor",Serial,1,2,0,0,4,S.Africa,WesternCape,,"Athlone,CapeTown",0,,,,,,,,1968,1969,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,4,,,1,1968,1969,0,0,0,0,0,1,0,0,0,0,0,0,1900,1960,,,0,4
"Aiken,IanOrville",Serial-Organizational-DrugEnterprise,1,2,0,0,2,US,"FL,NY","NewYork,Miami-Dade",NYC,1,1966,,Jamaica,29,29,20,1,10/27/1995,10/28/1995,10.1,8.1,Criminal-Drugenterprise,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,29,29,0,2,0,3,,1,Shoot,Gang,Gang/CriminalEnterprise,,1,2,0,2,0,2,0,0,0,,1,0,28,,,,0,0,1,0,1,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,,1,,0,,,0,0,1,0,2,0,,,,2,2,2,0,1995,1995,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,1,2
"Aikens,Thomas#81B0028",Serial-Team,1,2,0,0,11,US,NY,"NewYork,Bronx",NYC-Manhattan.Bronx,1,1960,6/17/1960,,19,19,10,0,1/21/1980,2/22/1980,6.1,1.12,FinancialGain-Robbery-Retail,,,,,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,0,2,0,3,1,1,Shoot,"Aikens,Thomas;Jackson,William;McFarlane,Michael",,1,3,10,1,7,3,0,6,2,0,4,1,1,"15,23,26,39,50,54,54",,,,0,0,,,1,,,0,,0,0,0,,0,,,1,0,0,0,0,0,0,0,,,,,,2/23/1980,0,0,0,0,2,0,,,,11,0,5,0,1980,1980,0,0,0,1,0,0,0,0,0,0,0,0,1900,1980,,,0,6+
"Akin,JosephDewey",Serial-suspected,1,1,1,0,18,US,AL/GA,Jefferson,Birmingham,1,1956,11/7/1956,,35,40,30,0,3/27/1991,1997,4.1,3.31,Enjoyment-Power-AngelofDeath,,1,,,0,1,4,0,0,,16,Bachelor's,,,,,0,,,,,0,1,,,,,,,,,,,,,,,,1,2,,,,,0,1,0,,,2,Nurse,0,0,35,35,0,3,0,3,0,0,Poison,,,,3,,,,,,,,,,1,,32,,,6,0,0,1,0,1,0,0,0,,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,1,,,,1991,0,0,1,0,15yrs,0,,0,,18,1,1,6,1991,1997,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,Pleadguiltytomanslaughter,,0,6+
"Akinmurele,Stephen",Serial,1,2,0,0,5,England,NorthWest,Lincolnshire,"Ballasalla,Bispham,IsleofMan",0,1978,,Nigeria,17,20,10,0,1995,10/30/1998,7.1,1.11,FinancialGain-Robbery-HomeInvasion,,,,,,,,,,,,,,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,Bartender,,,17,17,0,11,0,,0,0,Fire,,,,3,1,4,1,5,0,0,0,0,8,1,0,"68,72,74,75,77",,,1,0,,1,0,,,,,,0,0,0,,,,,1,0,0,0,0,0,0,0,,1,,,,3/23/1999,0,0,1,0,5,0,8/28/1999,1,6,5,8,0,3,1995,1998,0,0,1,0,0,0,0,0,0,0,0,0,1900,1990,,,0,5
"Aksoy,Orhan*",Serial,1,1,1,,5,Turkey,,,,0,,,,,,,,2000,2001,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1,2000,2001,0,1,0,0,0,0,0,0,0,0,0,0,2000,2000,,,0,5
"Aktas,Suleyman",Serial,1,1,1,,,Turkey,,,"Antalya,Denizli",0,,,,,,,,1986,1994,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,0,Strangle,,,,3,1,4,1,5,0,0,0,0,,1,0,"65,66,77,78",,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,ParanoidSchizophrenia,,0,0,,,,,,,,5,,1,8,1986,1994,0,0,1,1,0,0,0,0,0,0,0,0,1900,1980,,,0,5
